Date,Open,High,Low,Close,Adj Close,Volume
2015-10-12,31.115000,31.330000,30.950001,31.200001,28.123592,1798722
2015-10-13,31.290001,31.290001,30.705000,30.900000,27.853170,5881508
2015-10-14,30.770000,30.834999,30.360001,30.480000,27.474585,5086689
2015-10-15,30.764999,30.940001,30.559999,30.820000,27.781059,6102002
2015-10-16,31.030001,31.150000,30.770000,31.020000,27.961344,3623047
2015-10-19,31.059999,31.465000,30.930000,31.385000,28.290350,3172902
2015-10-20,31.459999,31.575001,31.165001,31.440001,28.339926,3349784
2015-10-21,31.490000,31.830000,31.145000,31.754999,28.623867,22822090
2015-10-22,31.629999,32.939999,31.525000,32.750000,29.520758,51758377
2015-10-23,32.970001,34.009998,32.930000,33.755001,30.426662,38003207
2015-10-26,33.730000,33.994999,33.544998,33.610001,30.295958,48825236
2015-10-27,33.645000,33.740002,33.465000,33.509998,30.205822,50004585
2015-10-28,33.735001,34.099998,33.500000,33.900002,30.557369,13752220
2015-10-29,34.165001,34.285000,33.980000,34.285000,30.904406,4394482
2015-10-30,34.500000,34.599998,33.820000,34.105000,30.742149,11066449
2015-11-02,33.779999,34.450001,33.759998,34.095001,30.733139,14337669
2015-11-03,33.834999,34.064999,33.645000,33.810001,30.603693,53319561
2015-11-04,33.904999,34.244999,33.605000,33.709999,30.513182,35466546
2015-11-05,33.700001,34.540001,33.605000,34.349998,31.092480,40746770
2015-11-06,34.235001,34.320000,32.310001,32.935001,29.811676,33862403
2015-11-09,32.930000,33.294998,32.810001,32.935001,29.811676,27909172
2015-11-10,33.040001,33.169998,32.830002,33.169998,30.024387,14892772
2015-11-11,33.200001,33.669998,33.169998,33.415001,30.246157,3247427
2015-11-12,33.424999,33.599998,32.785000,32.945000,29.820728,3208692
2015-11-13,32.790001,32.990002,32.275002,32.540001,29.454136,10519870
2015-11-16,32.169998,32.775002,32.040001,32.705002,29.603491,9464489
2015-11-17,33.005001,33.490002,32.970001,33.345001,30.182795,4872377
2015-11-18,33.200001,33.275002,32.599998,32.654999,29.558229,9130857
2015-11-19,33.005001,33.145000,32.630001,32.720001,29.617067,5514464
2015-11-20,32.895000,33.235001,32.634998,33.125000,29.983660,6356910
2015-11-23,33.000000,33.259998,32.779999,33.115002,29.974611,2155159
2015-11-24,33.064999,33.064999,31.719999,32.299999,29.236897,11984603
2015-11-25,32.400002,33.220001,32.400002,33.174999,30.028917,7057517
2015-11-26,33.090000,33.419998,32.884998,33.279999,30.123957,2920269
2015-11-27,33.115002,33.619999,32.915001,33.465000,30.291407,6395954
2015-11-30,33.419998,34.169998,33.375000,34.060001,30.829990,4892490
2015-12-01,34.105000,34.285000,33.799999,33.965000,30.743999,2812594
2015-12-02,34.185001,34.799999,34.125000,34.584999,31.305201,4633460
2015-12-03,34.865002,35.375000,33.055000,33.384998,30.218998,7150104
2015-12-04,33.200001,33.400002,32.514999,33.250000,30.096804,5196309
2015-12-07,33.549999,34.250000,33.500000,33.875000,30.662535,4326183
2015-12-08,33.709999,33.785000,32.744999,32.915001,29.793573,5478468
2015-12-09,33.119999,33.119999,32.380001,32.544998,29.458658,4758455
2015-12-10,32.544998,32.924999,31.790001,32.105000,29.060385,6106346
2015-12-11,32.435001,32.790001,31.915001,32.035000,28.997026,6240816
2015-12-14,32.105000,32.490002,31.405001,31.420000,28.440346,4490975
2015-12-15,31.655001,32.520000,31.629999,32.400002,29.327412,8311470
2015-12-16,32.634998,32.845001,32.044998,32.290001,29.227844,8865832
2015-12-17,33.060001,33.549999,32.915001,33.075001,29.938398,9725717
2015-12-18,32.845001,33.000000,32.005001,32.215000,29.159958,8179582
2015-12-21,32.000000,32.314999,31.450001,31.450001,28.467505,5266876
2015-12-22,31.844999,31.860001,31.225000,31.639999,28.639482,4191468
2015-12-23,32.000000,32.325001,31.660000,31.900000,28.874828,3690256
2015-12-24,31.945000,32.169998,31.735001,31.790001,28.775259,821165
2015-12-28,31.900000,32.099998,31.420000,31.490000,28.503712,6398474
2015-12-29,31.790001,32.369999,31.725000,32.255001,29.196163,2313711
2015-12-30,32.195000,32.310001,31.780001,32.009998,28.974396,1806990
2015-12-31,32.105000,32.105000,31.660000,31.690001,28.684744,797704
2016-01-04,31.365000,31.389999,30.360001,30.580000,27.680008,5434390
2016-01-05,30.750000,30.930000,30.090000,30.370001,27.489925,4993943
2016-01-06,30.500000,30.500000,29.690001,30.174999,27.313414,5567451
2016-01-07,29.500000,30.219999,29.215000,30.070000,27.218374,10364984
2016-01-08,30.219999,30.520000,29.645000,29.645000,26.833675,7669178
2016-01-11,29.415001,29.875000,29.250000,29.434999,26.643593,5714421
2016-01-12,29.415001,30.370001,29.334999,30.105000,27.250051,5709764
2016-01-13,30.514999,30.670000,29.860001,30.004999,27.159533,4999791
2016-01-14,29.684999,29.780001,29.059999,29.240000,26.467083,5162527
2016-01-15,29.205000,29.480000,28.375000,28.540001,25.833469,8494182
2016-01-18,28.465000,28.865000,28.270000,28.440001,25.742952,8810538
2016-01-19,28.895000,29.254999,28.705000,29.035000,26.281521,5038939
2016-01-20,28.250000,28.490000,27.754999,28.205000,25.530237,5505329
2016-01-21,28.400000,29.155001,28.290001,28.830000,26.095966,6989396
2016-01-22,29.420000,29.745001,29.129999,29.555000,26.752211,4651570
2016-01-25,29.655001,29.655001,29.094999,29.290001,26.512346,4185698
2016-01-26,28.850000,29.525000,28.709999,29.424999,26.634541,11550993
2016-01-27,29.344999,30.000000,29.270000,30.000000,27.155012,4200245
2016-01-28,29.775000,30.100000,29.110001,29.559999,26.756737,6429410
2016-01-29,29.879999,30.184999,29.520000,30.184999,27.322468,3945888
2016-02-01,30.340000,30.485001,29.920000,30.465000,27.575914,3440310
2016-02-02,30.400000,30.450001,29.615000,29.840000,27.010183,6217628
2016-02-03,29.670000,29.730000,28.820000,29.190001,26.421827,3956632
2016-02-04,29.465000,29.559999,28.750000,28.930000,26.186485,5581493
2016-02-05,28.969999,29.190001,28.350000,28.400000,25.706749,3182747
2016-02-08,28.395000,28.440001,27.440001,27.555000,24.941875,5513548
2016-02-09,27.514999,27.840000,26.870001,27.375000,24.778946,8400814
2016-02-10,27.690001,28.405001,27.334999,28.084999,25.421618,7568931
2016-02-11,27.799999,27.799999,26.754999,26.754999,24.217741,5755945
2016-02-12,26.920000,27.139999,26.594999,27.110001,24.539080,5588616
2016-02-15,27.700001,28.059999,27.530001,27.555000,24.941875,7562554
2016-02-16,27.745001,27.840000,26.965000,27.219999,24.638645,11364358
2016-02-17,27.344999,28.030001,27.344999,28.014999,25.358255,8787607
2016-02-18,28.250000,28.430000,27.980000,28.209999,25.534761,5436636
2016-02-19,28.240000,28.350000,27.885000,28.254999,25.575495,6358640
2016-02-22,28.469999,28.930000,28.420000,28.584999,25.874199,3322748
2016-02-23,28.500000,28.650000,28.004999,28.004999,25.349199,3412462
2016-02-24,28.004999,28.184999,27.040001,27.195000,24.616020,9444849
2016-02-25,27.650000,28.045000,27.280001,27.959999,25.308468,4209049
2016-02-26,28.375000,28.879999,28.309999,28.504999,25.801783,5449168
2016-02-29,28.400000,28.625000,27.975000,28.620001,25.905884,4051300
2016-03-01,28.799999,29.785000,28.674999,29.785000,26.960400,9211928
2016-03-02,29.965000,30.075001,29.395000,29.660000,26.847254,6132855
2016-03-03,29.615000,29.615000,29.209999,29.330000,26.548550,2838936
2016-03-04,29.379999,29.995001,29.245001,29.700001,26.883463,17375172
2016-03-07,29.450001,29.695000,29.270000,29.695000,26.878939,5890464
2016-03-08,29.514999,29.709999,29.059999,29.410000,26.620962,13200138
2016-03-09,29.700001,30.645000,29.450001,29.920000,27.082598,7738419
2016-03-10,30.190001,31.150000,29.680000,29.680000,26.865358,6446757
2016-03-11,30.230000,30.424999,29.590000,29.610001,26.801996,8544603
2016-03-14,29.825001,30.184999,29.825001,29.855000,27.023760,9029951
2016-03-15,29.764999,29.840000,29.400000,29.674999,26.860832,4951008
2016-03-16,29.770000,29.945000,29.700001,29.905001,27.069023,7024026
2016-03-17,30.160000,30.209999,29.000000,29.790001,26.964928,5125131
2016-03-18,29.725000,29.855000,29.410000,29.750000,26.928719,8271110
2016-03-21,29.754999,30.059999,29.629999,29.875000,27.041868,4800141
2016-03-22,29.760000,30.045000,29.260000,30.045000,27.195745,3199737
2016-03-23,30.059999,30.385000,29.895000,30.145000,27.286257,3667627
2016-03-24,29.855000,30.010000,29.495001,29.545000,26.743160,3252645
2016-03-29,29.780001,29.975000,29.565001,29.780001,26.955877,2588916
2016-03-30,30.025000,30.270000,29.980000,30.110001,27.254580,7956266
2016-03-31,29.860001,29.995001,29.520000,29.565001,26.761265,7309854
2016-04-01,29.299999,29.299999,28.620001,29.105000,26.344885,5926661
2016-04-04,29.055000,29.590000,29.025000,29.295000,26.516869,10420724
2016-04-05,29.025000,29.080000,28.450001,28.450001,25.752003,7725404
2016-04-06,28.510000,28.740000,28.299999,28.629999,25.914930,4542719
2016-04-07,28.580000,28.750000,28.254999,28.415001,25.720325,10606174
2016-04-08,28.545000,28.754999,28.385000,28.570000,25.860622,3103898
2016-04-11,28.510000,28.820000,28.270000,28.530001,25.824415,10950988
2016-04-12,28.504999,28.785000,28.135000,28.735001,26.009977,9980083
2016-04-13,28.799999,29.065001,28.320000,28.980000,26.231739,8285050
2016-04-14,29.045000,29.115000,28.735001,28.905001,26.163857,12516092
2016-04-15,28.910000,28.945000,28.655001,28.770000,26.041656,8076653
2016-04-18,28.495001,29.059999,28.430000,28.900000,26.159328,15229142
2016-04-19,29.059999,29.555000,28.940001,29.525000,26.725054,5332860
2016-04-20,29.469999,29.910000,29.365000,29.795000,26.969452,19029265
2016-04-21,29.815001,29.870001,29.145000,29.450001,26.657169,25817379
2016-04-22,29.459999,29.684999,29.299999,29.500000,26.702429,30980977
2016-04-25,29.370001,29.530001,29.160000,29.219999,26.448982,30986930
2016-04-26,29.395000,29.545000,28.889999,28.975000,26.227215,14882569
2016-04-27,29.094999,29.225000,28.785000,29.165001,26.675388,68141333
2016-04-28,28.795000,28.795000,28.155001,28.645000,26.472078,4032759
2016-04-29,28.379999,28.440001,27.879999,28.035000,25.908350,5959280
