N_open1,N_open2,N_open3,N_high1,N_high2,N_high3,N_low1,N_low2,N_low3,N_close1,N_close2,N_close3,N_vol1,N_vol2,N_vol3,N_rsi,N_adx,open
-0.12682086781650345,-0.12145736283210336,-0.14006751815279592,-0.10440399927766876,-0.10536448225831375,-0.11618021975229827,-0.13145587917993046,-0.12937756017328814,-0.14932675950149135,-0.12654258885658487,-0.12388547355146655,-0.12762310524338707,0.758891883092491,0.4779860487459853,0.860610698032575,0.266174,0.368702,185.1
-0.12145736283210336,-0.14006751815279592,-0.13307644697213453,-0.10536448225831375,-0.11618021975229827,-0.11613027596308205,-0.12937756017328814,-0.14932675950149135,-0.14795190490773077,-0.12388547355146655,-0.12762310524338707,-0.14418359144385592,0.4779860487459853,0.860610698032575,0.7522461790138354,0.274224,0.35802799999999996,188.75
-0.14006751815279592,-0.13307644697213453,-0.1079810627509595,-0.11618021975229827,-0.11613027596308205,-0.1073195525298686,-0.14932675950149135,-0.14795190490773077,-0.15654013366367686,-0.12762310524338707,-0.14418359144385592,-0.14834916396456022,0.860610698032575,0.7522461790138354,0.9368342937736481,0.278512,0.34751600000000005,187.1
-0.13307644697213453,-0.1079810627509595,-0.14529307603001085,-0.11613027596308205,-0.1073195525298686,-0.12318731254803193,-0.14795190490773077,-0.15654013366367686,-0.18001392824344553,-0.14418359144385592,-0.14834916396456022,-0.1403445552106177,0.7522461790138354,0.9368342937736481,0.9994419728693815,0.27085000000000004,0.33645200000000003,191.2
-0.1079810627509595,-0.14529307603001085,-0.13736093807423913,-0.1073195525298686,-0.12318731254803193,-0.11675092302780678,-0.15654013366367686,-0.18001392824344553,-0.16830131525616948,-0.14834916396456022,-0.1403445552106177,-0.16430315314444724,0.9368342937736481,0.9994419728693815,0.98867240538808,0.275474,0.32547400000000004,199.83
-0.14529307603001085,-0.13736093807423913,-0.15739848252316488,-0.12318731254803193,-0.11675092302780678,-0.11716823024510536,-0.18001392824344553,-0.16830131525616948,-0.16452584969460518,-0.1403445552106177,-0.16430315314444724,-0.12689058968803704,0.9994419728693815,0.98867240538808,0.9853138326164509,0.28720300000000004,0.314129,194.34
-0.13736093807423913,-0.15739848252316488,-0.14762306812618228,-0.11675092302780678,-0.11716823024510536,-0.13445789558974394,-0.16830131525616948,-0.16452584969460518,-0.1784702741889867,-0.16430315314444724,-0.12689058968803704,-0.1370948851418669,0.98867240538808,0.9853138326164509,0.9943938167067091,0.270444,0.301797,199.1
-0.15739848252316488,-0.14762306812618228,-0.08143867745360613,-0.11716823024510536,-0.13445789558974394,-0.0802877264555713,-0.16452584969460518,-0.1784702741889867,-0.1347491124655992,-0.12689058968803704,-0.1370948851418669,-0.12616742908790132,0.9853138326164509,0.9943938167067091,0.9840477055133281,0.30047599999999997,0.29005,197.76
-0.14762306812618228,-0.08143867745360613,-0.06289103298368534,-0.13445789558974394,-0.0802877264555713,-0.05674766518087312,-0.1784702741889867,-0.1347491124655992,-0.0750412196466859,-0.1370948851418669,-0.12616742908790132,-0.06760723109797286,0.9943938167067091,0.9840477055133281,0.40979136998313426,0.30119599999999996,0.278668,202.8
-0.08143867745360613,-0.06289103298368534,-0.0701791193316957,-0.0802877264555713,-0.05674766518087312,-0.05758185449542724,-0.1347491124655992,-0.0750412196466859,-0.08657790075632259,-0.12616742908790132,-0.06760723109797286,-0.05956158852859945,0.9840477055133281,0.40979136998313426,0.3794655745821053,0.315759,0.265701,221.96
-0.06289103298368534,-0.0701791193316957,-0.07602769892118334,-0.05674766518087312,-0.05758185449542724,-0.05516837598739055,-0.0750412196466859,-0.08657790075632259,-0.08123286611449912,-0.06760723109797286,-0.05956158852859945,-0.06396029116479611,0.40979136998313426,0.3794655745821053,0.37229022611755075,0.36722499999999997,0.255308,229.49
-0.0701791193316957,-0.07602769892118334,-0.07139450894025225,-0.05758185449542724,-0.05516837598739055,-0.06956277361504476,-0.08657790075632259,-0.08123286611449912,-0.10122269931222876,-0.05956158852859945,-0.06396029116479611,-0.09127103350673368,0.3794655745821053,0.37229022611755075,0.7925356017333459,0.37952199999999997,0.249715,229.32
-0.07602769892118334,-0.07139450894025225,-0.049656297694879746,-0.05516837598739055,-0.06956277361504476,-0.04079577503265142,-0.08123286611449912,-0.10122269931222876,-0.06439264044853833,-0.06396029116479611,-0.09127103350673368,-0.050565664880746854,0.37229022611755075,0.7925356017333459,0.3312780604618278,0.380727,0.243828,229.3
-0.07139450894025225,-0.049656297694879746,-0.0458292189333987,-0.06956277361504476,-0.04079577503265142,-0.039217448085477606,-0.10122269931222876,-0.06439264044853833,-0.06570332024876084,-0.09127103350673368,-0.050565664880746854,-0.04590790746385486,0.7925356017333459,0.3312780604618278,0.2796521597497655,0.351963,0.238553,232.01
