AAPL,
ABBV,
ABT,
ACN,
AIG,
ALL,
AMGN,
AMZN,
APA,
APC,
AXP,
BA,
BAC,
BAX,
BIIB,
BK,
BMY,
BRK.B,
C,
CAT,
CL,
CMCSA,
COF,
COP,
COST,
CSCO,
CVS,
CVX,
DIS,
DVN,
EBAY,
EMR,
EXC,
F,
FB,
FCX,
FDX,
GD,
GE,
GILD,
GM,
GOOG,
GS,
HAL,
HD,
HON,
HPQ,
IBM,
INTC,
JNJ,
JPM,
KO,
LLY,
LMT,
LOW,
MA,
MCD,
MDLZ,
MDT,
MET,
MMM,
MO,
MRK,
MS,
MSFT,
NKE,
NOV,
NSC,
ORCL,
OXY,
PEP,
PFE,
PG,
PM,
QCOM,
RTN,
SBUX,
SLB,
SO,
SPG,
T,
TGT,
TXN,
UNH,
UNP,
UPS,
USB,
UTX,
V,
VZ,
WBA,
WFC,
WMT,
XOM,
