MRK,
MS,
MSFT,
NKE,
NOV,
NSC,
ORCL,
OXY,
PEP,
PFE,
PG,
PM,
QCOM,
RTN,
SBUX,
SLB,
SO,
SPG,
T,
TGT,
TWX,
TXN,
UNH,
UNP,
UPS,
USB,
UTX,
V,
VZ,
WBA,
WFC,
WMT,
XOM,
